,title,date,author,gender
60,Quantum Computation and Quantum Information,2000-10-30,Not Found,unknown
61,"XIX International Symposium on Lepton and Photon Interactions at High Energies, Stanford, California, 9-14 August 1999",2000-10-30,Not Found,unknown
62,An Introduction to the Theory of Spinors,2000-10-30,Not Found,unknown
63,Climbing the Mountain: The Scientific Biography of Julian Schwinger,2000-10-30,"Robert Finkelstein , UCLA.",male
64,Insertion Devices for Synchrotron Radiation and Free Electron Laser,2000-10-30,Not Found,unknown
65,Gateways into Electronics,2000-10-30,Not Found,unknown
66,Principles of Fusion Energy,2000-10-30,Not Found,unknown
67,The Cambridge Handbook of Physics Formulas,2000-10-30,Not Found,unknown
68,Managing Science – Management for R&D Laboratories,2000-10-30,"Juan-Antonio Rubio , CERN.",unknown
69,The Quest for Symmetry – Selected Works of Bunji Sakita,2000-10-30,Not Found,unknown
70,How the Web was Born,2000-12-01,"Ben Segal , CERN.",male
71,"A Alikhanian: Essays, Recollections, Documents",2001-01-26,"A Yessin , Yerevan Physics Institute",unknown
72,Jean-Pierre Vigier and the Stochastic Interpretation of Quantum Mechanics,2001-01-26,Not Found,unknown
73,Against the Donning of the Gown by Galileo Galilei in 1590,2001-01-26,James Gillies /CERN,male
74,Quarks and Gluons: a Century of Particle Charges,2001-04-01,"Bryan Webber , Cambridge.",male
75,Anomalies in Quantum Field Theory,2001-04-01,"Raymond Stora,  LAPP, Annecy.",male
76,Selected Papers of Richard Feynman (with commentary),2001-04-01,"Gordon Fraser , CERN.",male
77,Calorimetry: Energy Measurement in Particle Physics,2001-04-01,"Jos Engelen,  NIKHEF, University of Amsterdam.",male
78,A Modern Introduction to Particle Physics,2001-04-01,Not Found,unknown
79,The Legacy of Léon Van Hove,2001-04-29,"Torleif Ericson , CERN.",male
80,"Chaos and Harmony, Perspectives on Scientific Revolutions of the 20th Century",2001-05-24,"John Swain , Northeastern University, Boston.",male
81,The Supersymmetric World: The Beginnings of the Theory,2001-08-29,"Gianfrancesco Giudice , CERN.",male
82,ICHEP 2000: Proceedings of the 30th International Conference on High-Energy Physics,2001-08-29,Not Found,unknown
83,"Basics and Highlights in Fundamental Physics, Proceedings of the International School of Sunbnuclear Physics",2001-08-29,Not Found,unknown
84,Sixty Years of Double Beta Decay: from Nuclear Physics to Beyond Standard Model Particle Physics,2001-08-29,Not Found,unknown
85,"Particle Physics and the Universe: Proceedings of the Nobel Symposium, 20-25 August 1998",2001-08-29,Not Found,unknown
86,The Golden Age of Theoretical Physics,2001-10-04,"Gordon Fraser , CERN.",male
87,At the Frontier of Particle Physics: Handbook of QCD – Boris Ioffe Festschrift,2001-10-04,"Gordon Fraser , CERN.",male
88,Superconducting Materials for High Energy Colliders,2001-10-04,"Lucio Rossi,  Milan.",male
89,Heavy Quark Physics,2001-10-04,Not Found,unknown
90,Oeuvre et engagement de Frédéric Joliot-Curie,2001-10-04,"Maurice Jacob , CERN.",male
91,Spin in Particle Physics,2001-10-31,"Nikolai Tyurin , IHEP, Protvino.",male
92,The New World of Mr Tompkins,2001-12-05,Not Found,unknown
93,Au Coeur de la Matière,2001-12-05,Not Found,unknown
94,The Genius of Science: A Portrait Gallery,2001-12-05,"Don Cundy , CERN.",male
95,Cosmic Rays at Earth,2002-01-25,"Lawrence Jones , University of Michigan.",male
96,Practical Applications of Radioactivity and Nuclear Radiations,2002-01-25,Juha Ãystõ,male
97,An Introduction to Particle Accelerators,2002-01-25,"Tom Taylor , CERN.",male
98,Forward Physics and Luminosity Determination at the LHC,2002-01-25,Not Found,unknown
99,Nucleus – a Trip into the Heart of Matter,2002-01-25,Not Found,unknown
100,Great Physicists: the Life and Times of Leading Physicists from Galileo to Hawking,2002-02-25,"Gordon Fraser , CERN.",male
101,It Must be Beautiful: Great Equations of Modern Science,2002-02-25,"John March-Russell , CERN.",male
102,Les neutrinos vont-ils au paradis? [Do Neutrinos Go to Heaven?],2002-02-25,Not Found,unknown
103,The Casimir Effect: Physical Manifestation of Zero-Point Energy,2002-03-22,"John Swain , Northeastern University.",male
104,Quantum Electrodynamics,2002-03-22,"John March-Russell , CERN.",male
105,A Century of Physics,2002-03-22,"Montserrat Capellas Espuny , CERN.",female
106,Antimatter – the Ultimate Mirror,2002-04-23,Not Found,unknown
107,Chaos in the Kitchen = Symmetry at the Table,2002-04-23,"James Gillies , CERN.",male
108,Electron Scattering for Nuclear and Nucleon Structure,2002-04-23,"Rüdiger Voss , CERN.",male
109,Handbook of Radiation Effects,2002-06-25,"Marco Silari , CERN.",male
110,The Atom in the History of Human Thought,2002-06-25,"Horst Wachsmuth , CERN.",male
111,"Quarks, Leptons and the Big Bang (2nd edition)",2002-06-25,Not Found,unknown
112,Facing Up: Science and its Cultural Adversaries,2002-08-15,"Robert Cailliau , CERN.",male
113,Heavy Flavour Physics – Theory and Experimental Results in Heavy Quark Physics,2002-08-15,Not Found,unknown
114,Modern Cosmology,2002-09-30,"Juan Garcia-Bellido , CERN.",male
115,High-Energy Particle Diffraction,2002-09-30,"Elliot Leader,  Imperial College, University of London.",male
116,Space Radio Science,2002-09-30,"Jim Cohen , Jodrell Bank Observatory, University of Manchester.",male
117,The Particle Odyssey,2002-11-01,"Martin Redfern , BBC Radio Science Unit.",male
118,"From Nuclear Transmutation to Nuclear Fission, 1932-1939",2002-11-01,"Gordon Fraser , CERN.",male
119,Introduction to Quantum Fields on a Lattice,2002-12-01,Not Found,unknown
120,Mathematics for the Imagination,2002-12-01,"Robert Cailliau , CERN.",male
121,Sketches of an Elephant – A Topos Theory Compendium,2002-12-01,Not Found,unknown
122,Gauge Theories in Particle Physics Third Edition Volume 1: From Relativistic Quantum Mechanics to QED,2002-12-01,Not Found,unknown
123,A New Kind of Science,2003-01-01,"Luis Alvarez-Gaume , CERN.",male
124,"Flash! The Hunt for the Biggest Explosions in the Universe and The Biggest Bangs: The Mystery of Gamma-Ray Bursts, The Most Violent Explosions in the Universe",2003-03-01,"Robert Eisenstein , CERN and the National Science Foundation.",male
125,Introduction to Numerical Analysis,2003-03-31,Not Found,unknown
126,"Element Genesis, solving the mystery a video release",2003-03-31,"Jacques Visser , Public Relations, NIKHEF.",male
127,Hidden Worlds: Hunting for Quarks in Ordinary Matter,2003-03-31,"John Cuckney , Oxford University Summer School for Adults.",male
128,Chaos and Time-Series Analysis,2003-03-31,Not Found,unknown
129,Nonrelativistic Quantum Mechanics and Problems & Solution in Nonrelativistic Quantum Mechanics,2003-03-31,Not Found,unknown
130,Cohesion: A Scientific History of Intermolecular Forces,2003-04-30,Not Found,unknown
131,Dall’Atomo al Cosmo (From Atoms to the Cosmos),2003-04-30,"Antonella del Rosso  Vite, CERN.",female
132,Plasma Waves: Second Edition,2003-04-30,Not Found,unknown
133,Theory of Optical Processes in Semiconductors,2003-04-30,Not Found,unknown
134,Current Aspects of Neutrino Physics,2003-06-30,"Barbara Badelek , CERN.",female
135,Pomeron Physics and QCD,2003-06-30,"Jeff Forshaw , University of Manchester.",male
136,The Global Approach to Quantum Field Theory,2003-06-30,Not Found,unknown
137,Numerical Methods for Delay Differential Equations,2003-06-30,Not Found,unknown
138,Advances in non-linear dynamos,2003-09-03,Not Found,unknown
139,Fundamentals of Electroweak Theory,2003-09-03,"Guido Altarelli , CERN.",male
140,Universal fluctuations,2003-09-03,Not Found,unknown
141,A Short History of Nearly Everything,2003-09-03,"Shawna Williams , CERN.",female
142,Towards a nonlinear quantum physics,2003-09-03,Not Found,unknown
143,Quantum Chromodynamics – High Energy Experiments and Theory,2003-09-03,"Harald Fritsch , University of Munich.",male
144,Ontological Aspects of Quantum Field Theory,2003-10-05,Not Found,unknown
145,Transverse Spin Physics,2003-10-05,Not Found,unknown
146,An Introduction to a Realistic Quantum Mechanics,2003-10-05,"André Martin , CERN.",male
147,Modern Cosmology and Particle Astrophysics,2003-10-05,"Paul H Frampton , University of North Carolina at Chapel Hill.",male
148,Applied Partial Differential Equations,2003-10-05,Not Found,unknown
149,Facts and Mysteries in Elementary Particle Physics,2003-10-05,"Robert Cailliau , CERN.",male
150,From the Preshower to the New Technologies for Supercolliders,2003-11-01,"Mike Price , CERN.",male
151,Weep for ISABELLE – a rhapsody in a minor key,2003-11-01,"Gordon Fraser , Divonne-les-Bains.",male
152,Evolution of Networks: From Biological Nets to the Internet and WWW,2003-11-01,"Milan Vojnovic , EPFL.",male
153,"The Discovery of Subatomic Particles, Revised Edition",2003-12-09,"Christine Sutton , CERN.",female
154,Fundamentals in Hadronic Atom Theory,2003-12-09,Not Found,unknown
155,Finite Element Methods for Structures with Large Stochastic Variations,2003-12-09,Not Found,unknown
156,The Physics of Plasmas,2003-12-09,"Bob Bingham , Rutherford Appleton Laboratory.",male
157,Les tactiques de Chronos,2004-01-27,"François Vannucci , Université de Paris7 and IN2P3.",male
158,Marietta Blau – Sterne der Zertrümmerung,2004-01-27,"Cecilia Jarlskog , CERN.",female
159,Chercheurs entre reve et réalité (Scientists at the rim of reality),2004-03-01,"Alain Méric de Bellefon , PCC-Collège de France.",male
160,Supernovae and Gamma Ray Bursters,2004-03-01,"Arnon Dar , Technion – Israel Institute of Technology, Haifa.",male
161,Interactive Quantum Mechanics,2004-03-01,"Ian Aitchison , Oxford.",male
162,Measurement and Control of Charged Particle Beams,2004-03-01,"Philip Bryant , CERN.",male
163,The Millennium Problems,2004-03-01,"Luis Alvarez-Gaume , CERN.",male
164,"Das große Stephen Hawking Lesebuch, Leben und Werk (The Big Stephen Hawking Reader)",2004-03-31,"Hannelore Hammerle , CERN.",female
165,The Global Approach to Quantum Field Theory,2004-03-31,"Luis Alvarez-Gaume , CERN.",male
166,Le miroir aux neutrinos (The Neutrino Mirror),2004-03-31,"Alain Blondel , Geneva University.",male
167,"High Magnetic Fields: Science and Technology, Volumes 1 and 2",2004-06-07,Not Found,unknown
168,Neutrino Physics,2004-06-07,"Klaus Blaum , CERN.",male
169,"Gauge Theories in Particle Physics, Volume 2",2004-06-07,Not Found,unknown
170,Renormalization Methods: A Guide For Beginners,2004-06-07,Not Found,unknown
171,The Cold Wars – A History of Superconductivity,2004-06-07,"Gordon Fraser , Divonne-les-Bains.",male
172,Symmetry and Modern Physics: Yang Retirement Symposium,2004-06-07,Not Found,unknown
173,La physique du XXe siècle,2004-06-07,"Sophie Della Mussia , CERN.",female
174,The Fly in the Cathedral,2004-07-27,"André Martin , CERN.",male
175,Ettore Majorana – Notes on Theoretical Physics,2004-07-27,"Gordon Fraser , Divonne-les-Bains.",male
176,Roberto Salmeron Festschrift: A Master and A Friend,2004-09-05,"Emanuele Quercigh , CERN and INFN Padova.",male
177,Invitation to Contemporary Physics,2004-09-05,Not Found,unknown
178,Oppenheimer: Portrait of an Enigma,2004-09-05,"Peggie Rimmer , CERN.",female
179,Proceedings of the Dirac Centennial Symposium,2004-09-05,"Ben Allanach , LAPP, Annecy.",male
180,Particles and Nuclei: An Introduction to the Physical Concepts,2004-09-05,Not Found,unknown
181,The Theory of Complex Angular Momenta: Gribov Lectures on Theoretical Physics,2004-09-05,Not Found,unknown
182,Gravity from the ground up,2004-10-03,"Christine Sutton , CERN.",female
183,Quark-Gluon Plasma 3,2004-10-03,Not Found,unknown
184,Quark Model and High Energy Collisions,2004-10-03,Not Found,unknown
185,Singular Null Hypersurfaces in General Relativity,2004-10-03,Not Found,unknown
186,Path Integrals and Quantum Anomalies,2004-10-03,Not Found,unknown
187,A Personal History of CESR and CLEO,2004-11-12,"Brian Foster , Oxford.",male
188,The Future of Theoretical Physics and Cosmology: Celebrating Stephen Hawking’s 60th Birthday,2004-11-12,Not Found,unknown
189,Introduction to Nuclear Reactions,2004-11-12,Not Found,unknown
190,"Path Integrals in Quantum Mechanics, Statistics, Polymer Physics, and Financial Markets",2004-11-12,Not Found,unknown
191,Faster Than The Speed of Light – The Story of a Scientific Speculation,2004-11-24,Owen Appleton .,male
192,Jacquard’s Web,2004-11-24,Peggie Rimmer.,female
193,"Debunked! ESP, Telekinesis and Other Pseudoscience",2005-03-01,"John Eades , Tokyo.",male
194,Very High Energy Cosmic Gamma Radiation: A Crucial Window on the Extreme Universe,2005-03-29,"Marc Türler , INTEGRAL Science Data Centre and Geneva Observatory.",male
195,Large Hadron Collider Phenomenology,2005-05-05,"Daniel Froidevaux , CERN.",male
196,Learning About Particles – 50 Privileged Years,2005-07-17,"Biagio Saitta , Universita’ di Cagliari.",male
197,"Quaternions, algèbre de Clifford et physique relativiste",2005-09-28,Not Found,unknown
198,Foundations of Modern Cosmology (Second Edition),2005-09-28,Not Found,unknown
199,"Meacutethodes quantiques: Champs, N-corps, diffusion",2005-09-28,Not Found,unknown
200,Pulsed Power,2005-09-28,Not Found,unknown
201,"An Introduction to Black Holes, Information and the String Theory Revolution: The Holographic Universe",2005-09-28,"Luis Alvarez-Gaume , CERN.",male
202,50 Years of Yang-Mills Theory,2005-11-02,"Ian Aitchison , Oxford University.",male
203,From Fields to Strings: Circumnavigating Theoretical Physics (Ian Kogan Memorial Collection),2005-11-02,"Luis Alvarez-Gaume , CERN.",male
204,High pT Physics at Hadron Colliders,2005-11-02,"Allan Clark , University of Geneva.",male
205,Warped Passages: Unravelling the Universe’s Hidden Dimensions,2005-11-25,"James Gillies , CERN.",male
206,La quête d’Einstein: “Au prix d’une peine infinie…”,2005-11-25,"François Vannucci , Université de Paris7 and IN2P3.",male
207,The Artful Universe Expanded,2005-11-25,"Gordon Fraser , Divonne-les-Bains.",male
208,Symmetry and the Beautiful Universe,2005-11-25,"Peggie Rimmer , CERN.",female
209,Das Einstein-Fenster – Eine Reise in die Raumzeit,2005-11-25,"Thilo Pauly , CERN.",male
210,Parallel Worlds: The Science of Alternative Universes and our Future in the Cosmos,2005-11-25,"Mike Koratzinos , CERN.",male
211,A Different Universe: Reinventing Physics from the Bottom Down,2005-11-25,"Carlos Lourenço , CERN.",male
212,A Physicist’s Labour in War and Peace: Memoirs 1933-1999,2006-02-08,"Christine Sutton , CERN.",female
213,Astroparticle Physics,2006-02-08,"Marcello Lissia , INFN/Cagliari and University of Cagliari.",male
214,"Selected Papers (1945-1980) With Commentary, 2005 edition",2006-03-01,Not Found,unknown
215,Progress in String Theory: TASI 2003 Lecture Notes,2006-03-01,Not Found,unknown
216,"Pioneers in Art and Science: Art, Poetry and Particle Physics",2006-03-01,"Michael Marten , Science Photo Library, London.",male
217,Hadronic Physics from Lattice QCD,2006-03-01,Not Found,unknown
218,Feynman’s Thesis: A New Approach to Quantum Theory,2006-03-01,"John Swain , Northeastern University.",male
219,"Massive Neutrinos in Physics and Astrophysics, 3rd edition",2006-03-01,Not Found,unknown
220,Theory of Neural Information Processing Systems,2006-03-01,Not Found,unknown
221,What is the Electron?,2006-03-28,Not Found,unknown
222,"Secrets of the Old One: Einstein, 1905",2006-03-28,"André Martin , CERN.",male
223,"Fisica, Tecnologia, Economia (Physics, Technology, Economy)",2006-03-28,"Antonella Del Rosso , CERN.",female
224,Accelerator Physics 2nd edition,2006-03-28,Not Found,unknown
225,Drawing Theories Apart: the Dispersion of Feynman Diagrams in Postwar Physics,2006-03-28,Not Found,unknown
226,"Lattice Gauge Theories: An Introduction, 3rd edition",2006-05-02,Not Found,unknown
227,Quand le Ciel nous bombarde: Qu’est-ce que les rayons cosmiques?,2006-05-02,"Roger Anthoine , Péron.",male
228,"Field Theory, the Renormalization Group and Critical Phenomena: Graphs to Computers, 3rd edition",2006-05-02,Not Found,unknown
229,"Theoretical Nuclear and Subnuclear Physics, 2nd edition",2006-05-02,Not Found,unknown
230,300 questions à un astronome,2006-05-02,"Antonella del Rosso , CERN.",female
231,"Chern-Simons Theory, Matrix Models, and Topological Strings",2006-05-02,Not Found,unknown
232,"The QCD Vacuum Hadrons and Superdense Matter, 2nd edition",2006-06-06,Not Found,unknown
233,Modern Supersymmetry: Dynamics and Duality,2006-06-06,Not Found,unknown
234,Modeling Black Hole Evaporation,2006-06-06,Not Found,unknown
235,Soft Multihadron Dynamics,2006-06-06,Not Found,unknown
236,Entangled World. The Fascination of Quantum Information and Computing,2006-07-24,"John Swain , Northeastern University,",male
237,God Created the Integers. The Mathematical Breakthroughs that Changed History,2006-07-24,"Mike Koratzinos , CERN.",male
238,Programming the Universe: A Quantum Computer Scientist Takes on the Cosmos,2006-07-24,"Steve Reucroft , Northeastern University.",male
239,Letters to a Young Mathematician. The Art of Mentoring,2006-07-24,"Antonella del Rosso , CERN.",female
240,The Cosmic Landscape. String Theory and the Illusion of Intelligent Design,2006-07-24,"Luis Alvarez-Gaume , CERN.",male
241,Symmetry and the Monster: One of the Greatest Quests of Mathematics,2006-09-06,"Peggie Rimmer , Satigny.",female
242,"Iron Dominated Electromagnets: Design, Fabrication, Assembly and Measurements",2006-09-06,Not Found,unknown
243,Theory and Phenomenology of Sparticles: An Account of Four-Dimensional N = 1 Supersymmentry in High Energy Physics,2006-09-06,Not Found,unknown
244,Brane-Localized Gravity,2006-09-06,Not Found,unknown
245,Lepton and Photon Interactions at High Energies: Proceedings of the XXII International Symposium,2006-10-04,Not Found,unknown
246,Representing Electrons: A Biographical Approach to Theoretical Entities,2006-10-04,Not Found,unknown
247,Quantum Mechanics in Phase Space: An Overview with Selected Papers,2006-10-04,Not Found,unknown
248,Particle Physics and Cosmology: The Quest for Physics Beyond the Standard Model(s) (TASI 2002),2006-10-04,Not Found,unknown
249,Philosophy of Science: A New Perspective,2006-10-04,Not Found,unknown
250,Classical and Dissipative Quantum Systems,2006-10-04,Not Found,unknown
251,"Statistical Mechanics: Entropy, Order Parameters, and Complexity",2006-10-04,Not Found,unknown
252,Physics of Intensity Dependent Beam Instabilities,2006-11-01,Not Found,unknown
253,Time and Matter: Proceedings of the International Colloquium on the Science of Time,2006-11-01,Not Found,unknown
254,Laser-driven Particle Accelerators: New Sources of Energetic Particles and Radiation,2006-11-01,Not Found,unknown
255,Handbook on Secondary Particle Production and Transport by High-energy Heavy Ions,2006-11-01,Not Found,unknown
256,Linear Collider Physics in the New Millennium,2006-11-01,Not Found,unknown
257,Analytical Mechanics,2006-11-01,Not Found,unknown
258,An Invitation to Astrophysics,2006-11-01,Not Found,unknown
259,Adventures in Theoretical Physics: Selected Papers with Commentaries,2006-11-01,Not Found,unknown
260,Data Analysis: A Bayesian Tutorial (Second edition),2006-12-06,Not Found,unknown
261,"Quantum Mechanics: Classical Results, Modern Systems, and Visualized Examples (Second edition)",2006-12-06,Not Found,unknown
262,The Goldilocks Enigma: Why is the Universe Just Right for Life?,2006-12-06,"Peggie Rimmer , Satigny/Oxford.",female
263,"Relativity: Special, General and Cosmological (Second edition)",2006-12-06,Not Found,unknown
264,Field Theory: A Path Integral Approach (Second edition),2006-12-06,Not Found,unknown
265,The New Physics for the 21st Century,2007-01-30,"Tim Radford , former science editor of the Guardian.",male
266,"Experimental Techniques for Low-Temperature Measurements: Cryostat Design, Material Properties, and Superconductor Critical-Current Testing",2007-01-30,Not Found,unknown
267,Quantum Optics: an Introduction,2007-01-30,Not Found,unknown
268,Histoire de la radioactivité,2007-03-02,"François Siohan , Collex, Suisse.",male
269,Hans Bethe and his Physics,2007-03-28,"Bob Bingham , Centre for Fundamental Physics, Rutherford Appleton Laboratory, and University of Strathclyde.",male
270,The Scientific Legacy of Beppo Occhialini,2007-04-30,"John Mulvey , Oxford.",male
271,"Wolfgang Gentner, Festschrift zum 100. Geburtstag",2007-06-04,"Horst Wenninger , CERN.",male
272,"Dark Side of the Universe. Dark Matter, Dark Energy, and the Fate of the Cosmos",2007-07-19,"Marc Türler , INTEGRAL Science Data Centre and Geneva Observatory.",male
273,"Engines of Discovery: A Century of Particle Accelerators by Andrew Sessler and Edmund Wilson, World Scientific. Paperback",2007-08-21,"Swapan Chattopadhyay , Sir John Cockcroft Chair of Physics, Universities of Liverpool, Manchester and Lancaster, and director, Cockcroft Institute.",male
274,Statistical Methods in Experimental Physics (2nd edition),2007-09-19,Not Found,unknown
275,An Introduction to the Standard Model of Particle Physics (2nd edition),2007-09-19,Not Found,unknown
276,Conceptions of Cosmos. From Myths to the Accelerating Universe: A History of Cosmology,2007-09-19,Not Found,unknown
277,Fundamental Physics for Probing and Imaging,2007-09-19,Not Found,unknown
278,Advanced Quantum Theory (3rd edition),2007-09-19,Not Found,unknown
279,The New Cosmic Onion: Quarks and the Nature of the Universe,2007-10-19,"Dave Barney , CERN.",male
280,The Beauty of Physics,2007-11-21,"Michael Marten , Science Photo Library.",male
281,Un Improbable Chemin de Vie,2008-01-21,"André Martin , CERN.",male
282,The Void,2008-02-18,"Robert Cailliau , Prévessin.",male
283,Classical Charged Particles (third edition),2008-03-13,Not Found,unknown
284,Optical Trapping and Manipulation of Neutral Particles Using Lasers: a Reprint Volume with Commentaries,2008-03-13,Not Found,unknown
285,Mesoscopic Physics of Electrons and Photons,2008-03-13,Not Found,unknown
286,Laser Control of Atoms and Molecules,2008-03-13,Not Found,unknown
287,Principles of Phase Structures in Particle Physics,2008-03-13,Not Found,unknown
288,The Power of α: Electron Elementary Particle Generation with α-Quantized Lifetimes and Masses,2008-03-13,Not Found,unknown
289,Relaxation Processes in Micromagnetics,2008-03-13,Not Found,unknown
290,"Im Wirbel der Atome: Lise Meitner, Eine Frau geht ihren Weg (In the turmoil of atoms: Lise Meitner, A Woman pursues her Way)",2008-04-16,"Herwig Schopper , University of Hamburg and CERN.",male
291,I Am a Strange Loop,2008-05-21,"Carlos Lourenço , CERN.",male
292,The story of measurement,2008-07-08,"Jens Vigen , CERN.",male
293,Il fisico che visse due volte,2008-07-08,"Antonella Del Rosso , CERN.",female
294,Subatomic Physics (third edition),2008-08-13,Not Found,unknown
295,Felix Berezin: Life and Death of the Mastermind of Supermathematics,2008-10-20,Not Found,unknown
296,Quantum Field Theory of Non-equilibrium States,2008-10-20,Not Found,unknown
297,Principles of Quantum Computation and Information: Volume II: Basic Tools and Special Topics,2008-10-20,Not Found,unknown
298,Elements of String Cosmology,2008-10-20,Not Found,unknown
299,Zero to Infinity: The Foundations of Physics,2008-10-20,Not Found,unknown
300,Introduction to 3+1 Numerical Relativity,2008-10-20,Not Found,unknown
301,Physics of Semiconductors in High Magnetic Fields,2008-10-20,Not Found,unknown
302,Scale-free Networks: Complex Webs in Nature and Technology,2008-10-20,Not Found,unknown
303,"Searching for the Superworld: A Volume in Honor of Antonino Zichichi on the Occasion of the Sixth Centenary Celebrations of the University of Turin, Italy",2008-10-20,Not Found,unknown
304,"Order, Disorder and Criticality: Advanced Problems of Phase Transition Theory (Volume 2)",2008-12-08,Not Found,unknown
305,The Physics of Warm Nuclei: with Analogies to Mesoscopic Systems,2008-12-08,Not Found,unknown
306,An Introduction to the Physics of Particle Accelerators (2nd edition),2008-12-08,Not Found,unknown
307,Terrestrial Neutron-Induced Soft Errors in Advanced Memory Devices,2008-12-08,Not Found,unknown
308,A Primer on the Physics of the Cosmic Microwave Background,2008-12-08,Not Found,unknown
309,"Mémoires d’un Déraciné, Physicien, Citoyen du Monde",2009-02-23,"Paola Catapano , CERN.",female
